1,{}
5,{}
10,{}
12,"{'Honda': 0.3274, 'Engineering companies of Japan': 0.3002, 'Motor vehicle manufacturers of Japan': 0.2142, 'Trucks': 0.1383, 'Car manufacturers of Japan': 0.1338, 'Foreign trade of Japan': 0.1329, 'Automobiles': 0.1311, 'Motor vehicles': 0.1275, 'Sport utility trucks': 0.1244, 'Motor vehicle manufacturers': 0.1207, 'Automotive industry': 0.1153, 'Wheeled vehicles': 0.1135, 'Tractor manufacturers of Japan': 0.1126, 'Vehicle industry': 0.112, 'Land vehicles': 0.1082, 'Honda vehicles': 0.1047, 'Vehicles': 0.1045}"
13,{}
14,{}
16,"{'Novae': 0.7443, 'Cataclysmic variable stars': 0.6842, 'Astronomical events': 0.6566, 'Stellar astronomy': 0.6205, 'Star types': 0.5939, 'Stars': 0.57, 'Stellar phenomena': 0.5483, 'Variable stars': 0.5287, 'Astronomy': 0.517, 'Astronomical objects': 0.494, 'Physical phenomena': 0.4787, 'Astrometry': 0.4645, 'Physical sciences': 0.4565, 'Natural events': 0.4389, 'Nova': 0.2349}"
21,{}
23,"{'Volcanology': 0.5073, 'Natural hazards': 0.4975, 'Natural disasters': 0.4289, 'Machine guns': 0.4131, 'Automatic weapons': 0.3825, 'Volcanism': 0.3824, 'Disasters': 0.3778, 'Geology': 0.3775, 'Physical geography': 0.3651, 'Hazards': 0.3594, 'Firearm actions': 0.3554, 'Volcanic events': 0.3527, 'Earth sciences': 0.3374, 'Weapon design': 0.3373, 'Weapons': 0.3215, 'Firearm components': 0.3213, 'Firearms': 0.2832, 'Volcanoes': 0.2789, 'Geological processes': 0.2782, 'Projectile weapons': 0.2728, 'Weapon development': 0.2718, 'Machines': 0.2711, 'Earth phenomena': 0.2635, 'Projectiles': 0.2616, 'Volcanic landforms': 0.2594, 'Geological hazards': 0.2502, 'Natural events': 0.2403, 'Mechanisms (engineering)': 0.2336, 'Industry': 0.2334, 'Mechanical engineering': 0.2286, 'Active volcanoes': 0.228, 'Components': 0.2231, 'Machine gun': 0.2218, 'Inventions': 0.2174, 'Artificial objects': 0.1973, 'Holocene volcanoes': 0.1935, 'Technology': 0.1887, 'Innovation': 0.1863, 'Design': 0.1733, 'Kinematics': 0.164, 'Civil defense': 0.1536, 'Nature': 0.121, 'Eyjafjallajökull': 0.1066}"
24,{}
